,Symbol,Name,industry,Sector,MarketCap
0,TXG,"10x Genomics, Inc.",Biotechnology: Laboratory Analytical Instruments,Capital Goods,$10.88B
1,YI,"111, Inc.",Medical/Nursing Services,Health Care,$517.22M
2,PIH,"1347 Property Insurance Holdings, Inc.",Property-Casualty Insurers,Finance,$26.09M
3,PIHPP,"1347 Property Insurance Holdings, Inc.",Property-Casualty Insurers,Finance,
4,TURN,180 Degree Capital Corp.,Finance/Investors Services,Finance,$60.06M
5,FLWS,"1-800-FLOWERS.COM, Inc.",Other Specialty Stores,Consumer Services,$1.93B
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",Banks,Finance,$42.33M
7,ONEM,"1Life Healthcare, Inc.",Medical/Nursing Services,Health Care,$3.57B
8,FCCY,1st Constitution Bancorp (NJ),Savings Institutions,Finance,$128.72M
9,SRCE,1st Source Corporation,Major Banks,Finance,$895.54M
10,VNET,"21Vianet Group, Inc.","Computer Software: Programming, Data Processing",Technology,$2.39B
11,TWOU,"2U, Inc.",Computer Software: Prepackaged Software,Technology,$2.48B
12,QFIN,"360 Finance, Inc.",Finance: Consumer Services,Finance,$1.79B
13,KRKR,36Kr Holdings Inc.,Business Services,Miscellaneous,$141.73M
14,JOBS,"51job, Inc.",Diversified Commercial Services,Technology,$4.35B
15,ETNB,"89bio, Inc.",Major Pharmaceuticals,Health Care,$626.46M
16,JFK,8i Enterprises Acquisition Corp,Business Services,Finance,$76.43M
17,JFKKR,8i Enterprises Acquisition Corp,Business Services,Finance,
18,JFKKU,8i Enterprises Acquisition Corp,Business Services,Finance,
19,JFKKW,8i Enterprises Acquisition Corp,Business Services,Finance,
20,EGHT,8x8 Inc,EDP Services,Technology,$1.73B
21,NMTR,"9 Meters Biopharma, Inc.",Major Pharmaceuticals,Health Care,$92.11M
22,JFU,9F Inc.,Finance: Consumer Services,Finance,$331.82M
23,AAON,"AAON, Inc.",Industrial Machinery/Components,Capital Goods,$3.05B
24,ABEO,Abeona Therapeutics Inc.,Major Pharmaceuticals,Health Care,$203.47M
25,ABMD,"ABIOMED, Inc.",Medical/Dental Instruments,Health Care,$14.02B
26,AXAS,Abraxas Petroleum Corporation,Oil & Gas Production,Energy,$31.43M
27,ACIU,AC Immune SA,Major Pharmaceuticals,Health Care,$549.72M
28,ACIA,"Acacia Communications, Inc.",Semiconductors,Technology,$2.85B
29,ACTG,Acacia Research Corporation,Multi-Sector Companies,Miscellaneous,$195.64M
